,INSTNM,INSTURL,instabbr,subr_from_name,subr_from_abbr,compd,match_only,subr_match
1580,Mid Michigan College,www.midmich.edu/, midmich  ,r/MidMichigan,r/MidMichigan,r/MidMichigan,True,True
1586,Northwestern Michigan College,https://www.nmc.edu/,  nmc  ,r/nmc,r/nmc,r/nmc,True,True
1601,Southwestern Michigan College,www.swmich.edu/, swmich  ,r/swmich,r/swmich,r/swmich,True,True
1629,Concordia College at Moorhead,https://www.concordiacollege.edu/,  concordiacollege  ,r/Moorhead,r/Moorhead,r/Moorhead,True,True
1637,Gustavus Adolphus College,gustavus.edu/,gustavus  ,r/gustavus,r/gustavus,r/gustavus,True,True
1638,Hamline University,www.hamline.edu/, hamline  ,r/Hamline,r/Hamline,r/Hamline,True,True
1646,Macalester College,www.macalester.edu/, macalester  ,r/macalester,r/macalester,r/macalester,True,True
1674,Saint Cloud State University,https://www.stcloudstate.edu/,  stcloudstate  ,r/StCloudState,r/StCloudState,r/StCloudState,True,True
1721,Mississippi State University,https://www.msstate.edu/,  msstate  ,r/Msstate,r/Msstate,r/Msstate,True,True
1722,Northeast Mississippi Community College,www.nemcc.edu/, nemcc  ,r/NEMCC,r/NEMCC,r/NEMCC,True,True
1753,Drury University,www.drury.edu/, drury  ,r/DruryUniversity,r/DruryUniversity,r/DruryUniversity,True,True
1758,Fontbonne University,https://www.fontbonne.edu/,  fontbonne  ,r/Fontbonne,r/Fontbonne,r/Fontbonne,True,True
1760,Ozarks Technical Community College,www.otc.edu/, otc  ,r/OTC,r/OTC,r/OTC,True,True
1776,Logan University,https://www.logan.edu/,  logan  ,r/Logan,r/Logan,r/Logan,True,True
1802,Ranken Technical College,www.ranken.edu/, ranken  ,r/Ranken,r/Ranken,r/Ranken,True,True
1804,Rockhurst University,https://www.rockhurst.edu/,  rockhurst  ,r/kansascity,r/kansascity,r/kansascity,True,True
1820,Three Rivers College,https://trcc.edu/, trcc  ,r/trcc,r/trcc,r/trcc,True,True
1860,Creighton University,https://www.creighton.edu/,  creighton  ,r/Creighton,r/Creighton,r/Creighton,True,True
1890,University of Nevada-Reno,www.unr.edu/, unr  ,r/unr,r/unr,r/unr,True,True
1892,Sierra Nevada University,www.sierranevada.edu/, sierranevada  ,r/SierraNevada,r/SierraNevada,r/SierraNevada,True,True
1893,Truckee Meadows Community College,www.tmcc.edu/, tmcc  ,r/tmcc,r/tmcc,r/tmcc,True,True
1897,Dartmouth College,www.dartmouth.edu/, dartmouth  ,r/dartmouth,r/dartmouth,r/dartmouth,True,True
1909,University of New Hampshire-Main Campus,www.unh.edu/, unh  ,r/unh,r/unh,r/unh,True,True
1947,Essex County College,www.essex.edu/, essex  ,r/Essex,r/Essex,r/Essex,True,True
1962,Kean University,https://www.kean.edu/,  kean  ,r/KeanUniversity,r/KeanUniversity,r/KeanUniversity,True,True
1966,Middlesex College,www.middlesexcc.edu/, middlesexcc  ,r/middlesexcc,r/middlesexcc,r/middlesexcc,True,True
2000,Thomas Edison State University,www.tesu.edu/, tesu  ,r/tesu,r/tesu,r/tesu,True,True
2009,Eastern New Mexico University-Main Campus,www.enmu.edu/, enmu  ,r/ENMU,r/ENMU,r/ENMU,True,True
2010,Eastern New Mexico University-Roswell Campus,www.roswell.enmu.edu/, roswell.enmu  ,r/ENMU,r/ENMU,r/ENMU,True,True
2014,New Mexico Military Institute,www.nmmi.edu/, nmmi  ,r/NMMI,r/NMMI,r/NMMI,True,True
2016,New Mexico Institute of Mining and Technology,www.nmt.edu/, nmt  ,r/nmt,r/nmt,r/nmt,True,True
2018,University of New Mexico-Main Campus,www.unm.edu/, unm  ,r/unm,r/unm,r/unm,True,True
2022,New Mexico State University-Main Campus,www.nmsu.edu/, nmsu  ,r/nmsu,r/nmsu,r/nmsu,True,True
2035,Adelphi University,www.adelphi.edu/, adelphi  ,r/AdelphiUniversity,r/AdelphiUniversity,r/AdelphiUniversity,True,True
2064,SUNY Broome Community College,www.sunybroome.edu/, sunybroome  ,r/SUNYBroome,r/SUNYBroome,r/SUNYBroome,True,True
2068,Canisius College,https://www.canisius.edu/,  canisius  ,r/Canisius,r/Canisius,r/Canisius,True,True
2081,Colgate University,https://www.colgate.edu/,  colgate  ,r/Colgate,r/Colgate,r/Colgate,True,True
2089,Cornell University,www.cornell.edu/, cornell  ,r/Cornell,r/Cornell,r/Cornell,True,True
2094,CUNY Bernard M Baruch College,www.baruch.cuny.edu/, baruch.cuny  ,r/Baruch,r/Baruch,r/Baruch,True,True
2095,CUNY Borough of Manhattan Community College,www.bmcc.cuny.edu/, bmcc.cuny  ,r/cunyBMCC,r/cunyBMCC,r/cunyBMCC,True,True
2101,CUNY Hostos Community College,www.hostos.cuny.edu/, hostos.cuny  ,r/CUNYHCC,r/CUNYHCC,r/CUNYHCC,True,True
2102,CUNY Hunter College,www.hunter.cuny.edu/, hunter.cuny  ,r/HunterCollege,r/HunterCollege,r/HunterCollege,True,True
2109,CUNY Queens College,https://www.qc.cuny.edu/,  qc.cuny  ,r/QueensCollege,r/QueensCollege,r/QueensCollege,True,True
2112,CUNY York College,www.york.cuny.edu/, york.cuny  ,r/YorkCollegeCuny,r/YorkCollegeCuny,r/YorkCollegeCuny,True,True
2123,Fashion Institute of Technology,www.fitnyc.edu/, fitnyc  ,r/fitnyc,r/fitnyc,r/fitnyc,True,True
2126,Fordham University,www.fordham.edu/, fordham  ,r/Fordham,r/Fordham,r/Fordham,True,True
2133,Hartwick College,www.hartwick.edu/, hartwick  ,r/MidYork,r/MidYork,r/MidYork,True,True
2137,Hobart William Smith Colleges,www.hws.edu/, hws  ,r/HWS,r/HWS,r/HWS,True,True
2138,Hofstra University,www.hofstra.edu/, hofstra  ,r/Hofstra,r/Hofstra,r/Hofstra,True,True
2154,Le Moyne College,www.lemoyne.edu/, lemoyne  ,r/LemoyneCollege,r/LemoyneCollege,r/LemoyneCollege,True,True
2165,Marist College,www.marist.edu/, marist  ,r/marist,r/marist,r/marist,True,True
2167,Medaille College,www.medaille.edu/, medaille  ,r/Buffalo,r/Buffalo,r/Buffalo,True,True
2215,Pratt Institute-Main,www.pratt.edu/, pratt  ,r/Pratt,r/Pratt,r/Pratt,True,True
2221,Rabbinical Seminary of America,www.rabbinical.org/, rabbinical.org ,r/Giyur,r/Giyur,r/Giyur,True,True
2222,Rensselaer Polytechnic Institute,www.rpi.edu/, rpi  ,r/RPI,r/RPI,r/RPI,True,True
2238,Sarah Lawrence College,www.sarahlawrence.edu/, sarahlawrence  ,r/sarahlawrence,r/sarahlawrence,r/sarahlawrence,True,True
2241,Siena College,https://www.siena.edu/,  siena  ,r/siena,r/siena,r/siena,True,True
2242,Skidmore College,www.skidmore.edu/, skidmore  ,r/skidmore,r/skidmore,r/skidmore,True,True
2246,Saint John Fisher College,https://www.sjfc.edu/,  sjfc  ,r/sjfc,r/sjfc,r/sjfc,True,True
2259,Stony Brook University,https://www.stonybrook.edu/,  stonybrook  ,r/stonybrookuniversity,r/stonybrookuniversity,r/stonybrookuniversity,True,True
2268,SUNY Oneonta,https://suny.oneonta.edu/, suny.oneonta  ,r/SUNYOneonta,r/SUNYOneonta,r/SUNYOneonta,True,True
2277,SUNY Maritime College,www.sunymaritime.edu/, sunymaritime  ,r/SunyMaritime,r/SunyMaritime,r/SunyMaritime,True,True
2286,Touro College,www.touro.edu/, touro  ,r/TouroCollege,r/TouroCollege,r/TouroCollege,True,True
2296,Vassar College,www.vassar.edu/, vassar  ,r/vassar,r/vassar,r/vassar,True,True
2303,SUNY Westchester Community College,www.sunywcc.edu/, sunywcc  ,r/SUNYWCC,r/SUNYWCC,r/SUNYWCC,True,True
2315,Appalachian State University,www.appstate.edu/, appstate  ,r/appstate,r/appstate,r/appstate,True,True
2316,Asheville-Buncombe Technical Community College,www.abtech.edu/, abtech  ,r/ABTech,r/ABTech,r/ABTech,True,True
2328,Cape Fear Community College,www.cfcc.edu/, cfcc  ,r/CFCC,r/CFCC,r/CFCC,True,True
2334,Central Piedmont Community College,www.cpcc.edu/, cpcc  ,r/CPCC,r/CPCC,r/CPCC,True,True
2340,Davidson College,https://davidson.edu/, davidson  ,r/davidson,r/davidson,r/davidson,True,True
2341,Duke University,www.duke.edu/, duke  ,r/duke,r/duke,r/duke,True,True
2343,East Carolina University,www.ecu.edu/, ecu  ,r/ECU,r/ECU,r/ECU,True,True
2346,Elon University,www.elon.edu/, elon  ,r/elon,r/elon,r/elon,True,True
2350,Gardner-Webb University,www.gardner-webb.edu/, gardner-webb  ,r/collegebballneverbeen,r/collegebballneverbeen,r/collegebballneverbeen,True,True
2353,Guilford College,https://www.guilford.edu/,  guilford  ,r/GuilfordCollege,r/GuilfordCollege,r/GuilfordCollege,True,True
2385,University of North Carolina at Chapel Hill,www.unc.edu/, unc  ,r/UNC,r/UNC,r/UNC,True,True
2388,North Carolina Central University,https://www.nccu.edu/,  nccu  ,r/NCCU,r/NCCU,r/NCCU,True,True
2422,Wake Forest University,www.wfu.edu/, wfu  ,r/wfu,r/wfu,r/wfu,True,True
2423,Wake Technical Community College,www.waketech.edu/, waketech  ,r/WakeTech,r/WakeTech,r/WakeTech,True,True
2424,Warren Wilson College,https://www.warren-wilson.edu/,  warren-wilson  ,r/wwc,r/wwc,r/wwc,True,True
2430,Wingate University,https://www.wingate.edu/,  wingate  ,r/wingate,r/wingate,r/wingate,True,True
2481,Cedarville University,https://www.cedarville.edu/,  cedarville  ,r/CedarvilleUniversity,r/CedarvilleUniversity,r/CedarvilleUniversity,True,True
2506,Denison University,https://www.denison.edu/,  denison  ,r/Denison,r/Denison,r/Denison,True,True
2536,Kenyon College,https://www.kenyon.edu/,  kenyon  ,r/Kenyon,r/Kenyon,r/Kenyon,True,True
2562,Muskingum University,www.muskingum.edu/, muskingum  ,r/MuskingumUniversity,r/MuskingumUniversity,r/MuskingumUniversity,True,True
2571,Oberlin College,www.oberlin.edu/, oberlin  ,r/oberlin,r/oberlin,r/oberlin,True,True
2579,Ohio State University-Newark Campus,newark.osu.edu/,newark.osu  ,r/OSU,r/OSU,r/OSU,True,True
2584,Ohio State University-Main Campus,www.osu.edu/, osu  ,r/OSU,r/OSU,r/OSU,True,True
2585,Ohio University-Eastern Campus,https://www.ohio.edu/eastern/,  ohio  eastern ,r/Kentucky,r/Kentucky,r/Kentucky,True,True
2590,Ohio University-Zanesville Campus,https://www.ohio.edu/zanesville/,  ohio  zanesville ,r/Ohio,r/Ohio,r/Ohio,True,True
2594,Otterbein University,https://www.otterbein.edu/,  otterbein  ,r/Otterbein,r/Otterbein,r/Otterbein,True,True
2612,Franciscan University of Steubenville,www.franciscan.edu/, franciscan  ,r/franciscanuniversity,r/franciscanuniversity,r/franciscanuniversity,True,True
2664,Oklahoma State University-Main Campus,www.okstate.edu/, okstate  ,r/OKState,r/OKState,r/OKState,True,True
2665,Oklahoma State University-Oklahoma City,www.osuokc.edu/, osuokc  ,r/OKState,r/OKState,r/OKState,True,True
2702,Linfield University-McMinnville Campus,https://www.linfield.edu/,  linfield  ,r/linfield,r/linfield,r/linfield,True,True
2709,Multnomah University,https://www.multnomah.edu/,  multnomah  ,r/PortlandSandbox,r/PortlandSandbox,r/PortlandSandbox,True,True
2759,Bucknell University,www.bucknell.edu/, bucknell  ,r/bucknell,r/bucknell,r/bucknell,True,True
2767,Carnegie Mellon University,www.cmu.edu/, cmu  ,r/cmu,r/cmu,r/cmu,True,True
2768,Cedar Crest College,www.cedarcrest.edu/, cedarcrest  ,r/CedarCrestHigh,r/CedarCrestHigh,r/CedarCrestHigh,True,True
2771,Chestnut Hill College,www.chc.edu/, chc  ,r/chc,r/chc,r/chc,True,True
2779,Dickinson College,https://www.dickinson.edu/,  dickinson  ,r/Dickinson,r/Dickinson,r/Dickinson,True,True
2781,Drexel University,https://drexel.edu/, drexel  ,r/Drexel,r/Drexel,r/Drexel,True,True
2799,Franklin and Marshall College,www.fandm.edu/, fandm  ,r/fandm,r/fandm,r/fandm,True,True
2804,Gratz College,https://www.gratz.edu/,  gratz  ,r/gratz,r/gratz,r/gratz,True,True
2809,Haverford College,https://www.haverford.edu/,  haverford  ,r/Haverford,r/Haverford,r/Haverford,True,True
2819,Juniata College,www.juniata.edu/, juniata  ,r/JuniataCollege,r/JuniataCollege,r/JuniataCollege,True,True
2836,Lehigh University,www.lehigh.edu/, lehigh  ,r/Lehigh,r/Lehigh,r/Lehigh,True,True
2847,Marywood University,www.marywood.edu/, marywood  ,r/marywood,r/marywood,r/marywood,True,True
2850,Mercyhurst University,www.mercyhurst.edu/, mercyhurst  ,r/MercyhurstUniversity,r/MercyhurstUniversity,r/MercyhurstUniversity,True,True
2859,Muhlenberg College,www.muhlenberg.edu/, muhlenberg  ,r/muhlenberg,r/muhlenberg,r/muhlenberg,True,True
2883,University of Pittsburgh-Pittsburgh Campus,www.pitt.edu/, pitt  ,r/Pitt,r/Pitt,r/Pitt,True,True
2890,Point Park University,www.pointpark.edu/, pointpark  ,r/PointParkUni,r/PointParkUni,r/PointParkUni,True,True
2897,Robert Morris University,www.rmu.edu/, rmu  ,r/RMU,r/RMU,r/RMU,True,True
2906,Seton Hill University,www.setonhill.edu/, setonhill  ,r/setonhill,r/setonhill,r/setonhill,True,True
2918,Swarthmore College,www.swarthmore.edu/, swarthmore  ,r/Swarthmore,r/Swarthmore,r/Swarthmore,True,True
2921,Temple University,www.temple.edu/, temple  ,r/Temple,r/Temple,r/Temple,True,True
2924,Thomas Jefferson University,www.jefferson.edu/, jefferson  ,r/JeffersonUniversity,r/JeffersonUniversity,r/JeffersonUniversity,True,True
2929,Ursinus College,www.ursinus.edu/, ursinus  ,r/ursinus,r/ursinus,r/ursinus,True,True
2933,Villanova University,www.villanova.edu/, villanova  ,r/villanova,r/villanova,r/villanova,True,True
2936,Waynesburg University,www.waynesburg.edu/, waynesburg  ,r/WaynesburgU,r/WaynesburgU,r/WaynesburgU,True,True
2944,Widener University,https://www.widener.edu/,  widener  ,r/Widener,r/Widener,r/Widener,True,True
2967,Anderson University,www.andersonuniversity.edu/, andersonuniversity  ,r/AndersonUniversity,r/AndersonUniversity,r/AndersonUniversity,True,True
2979,Clemson University,www.clemson.edu/, clemson  ,r/Clemson,r/Clemson,r/Clemson,True,True
2990,Greenville Technical College,www.gvltec.edu/, gvltec  ,r/GreenvilleTech,r/GreenvilleTech,r/GreenvilleTech,True,True
3023,Winthrop University,www.winthrop.edu/, winthrop  ,r/Winthrop,r/Winthrop,r/Winthrop,True,True
3028,Black Hills State University,www.bhsu.edu/, bhsu  ,r/BHSU,r/BHSU,r/BHSU,True,True
3042,South Dakota School of Mines and Technology,https://www.sdsmt.edu/,  sdsmt  ,r/SDSMT,r/SDSMT,r/SDSMT,True,True
3057,Belmont University,www.belmont.edu/, belmont  ,r/BelmontUniversity,r/BelmontUniversity,r/BelmontUniversity,True,True
3093,Lee University,www.leeuniversity.edu/, leeuniversity  ,r/leeuniversity,r/leeuniversity,r/leeuniversity,True,True
3097,Maryville College,www.maryvillecollege.edu/, maryvillecollege  ,r/maryvillecollege,r/maryvillecollege,r/maryvillecollege,True,True
3137,Trevecca Nazarene University,https://www.trevecca.edu/,  trevecca  ,r/Trevecca,r/Trevecca,r/Trevecca,True,True
3141,Vanderbilt University,www.vanderbilt.edu/, vanderbilt  ,r/Vanderbilt,r/Vanderbilt,r/Vanderbilt,True,True
3142,Volunteer State Community College,www.volstate.edu/, volstate  ,r/volstate,r/volstate,r/volstate,True,True
3153,The Art Institute of Houston,www.artinstitutes.edu/houston, artinstitutes  houston,r/ArtInstituteOfHouston,r/ArtInstituteOfHouston,r/ArtInstituteOfHouston,True,True
3154,Austin College,www.austincollege.edu/, austincollege  ,r/AustinCollege,r/AustinCollege,r/AustinCollege,True,True
3155,Austin Community College District,www.austincc.edu/, austincc  ,r/austincc,r/austincc,r/austincc,True,True
3161,Baylor University,www.baylor.edu/, baylor  ,r/baylor,r/baylor,r/baylor,True,True
3163,Blinn College,www.blinn.edu/, blinn  ,r/Blinn,r/Blinn,r/Blinn,True,True
3226,McLennan Community College,www.mclennan.edu/, mclennan  ,r/McLennancollege,r/McLennancollege,r/McLennancollege,True,True
3257,Sam Houston State University,www.shsu.edu/, shsu  ,r/SHSU,r/SHSU,r/SHSU,True,True
3263,South Plains College,www.southplainscollege.edu/, southplainscollege  ,r/SouthPlainsCollege,r/SouthPlainsCollege,r/SouthPlainsCollege,True,True
3268,Southern Methodist University,https://www.smu.edu/,  smu  ,r/SMU,r/SMU,r/SMU,True,True
3273,Stephen F Austin State University,www.sfasu.edu/, sfasu  ,r/sfasu,r/sfasu,r/sfasu,True,True
3277,Sul Ross State University,www.sulross.edu/, sulross  ,r/SulRossState,r/SulRossState,r/SulRossState,True,True
3279,Tarrant County College District,www.tccd.edu/, tccd  ,r/TCCD,r/TCCD,r/TCCD,True,True
3288,The University of Texas at Austin,https://www.utexas.edu/,  utexas  ,r/UTAustin,r/UTAustin,r/UTAustin,True,True
3300,Texas Tech University,www.ttu.edu/, ttu  ,r/TexasTech,r/TexasTech,r/TexasTech,True,True
3311,Victoria College,www.victoriacollege.edu/, victoriacollege  ,r/VictoriaCollegeCCF,r/VictoriaCollegeCCF,r/VictoriaCollegeCCF,True,True
3320,Brigham Young University,www.byu.edu/, byu  ,r/byu,r/byu,r/byu,True,True
3337,Utah State University,www.usu.edu/, usu  ,r/usu,r/usu,r/usu,True,True
3339,Salt Lake Community College,www.slcc.edu/, slcc  ,r/SLCC,r/SLCC,r/SLCC,True,True
3342,Westminster College,www.westminstercollege.edu/, westminstercollege  ,r/WestminsterCollege,r/WestminsterCollege,r/WestminsterCollege,True,True
3344,Castleton University,https://www.castleton.edu/,  castleton  ,r/CastletonUniversity,r/CastletonUniversity,r/CastletonUniversity,True,True
3369,Christopher Newport University,cnu.edu/,cnu  ,r/CNU,r/CNU,r/CNU,True,True
3377,Eastern Mennonite University,https://emu.edu/, emu  ,r/emu,r/emu,r/emu,True,True
3383,Hampton University,www.hamptonu.edu/, hamptonu  ,r/HamptonUniversity,r/HamptonUniversity,r/HamptonUniversity,True,True
3386,James Madison University,www.jmu.edu/, jmu  ,r/jmu,r/jmu,r/jmu,True,True
3389,Longwood University,www.longwood.edu/, longwood  ,r/Longwood,r/Longwood,r/Longwood,True,True
3395,Marymount University,https://www.marymount.edu/,  marymount  ,r/LMU,r/LMU,r/LMU,True,True
3412,Randolph College,www.randolphcollege.edu/, randolphcollege  ,r/RandolphCollege,r/RandolphCollege,r/RandolphCollege,True,True
