,INSTNM,INSTURL,instabbr,subr_from_name,subr_from_abbr,compd,match_only,subr_match
5823,Westcliff University,www.westcliff.edu/, westcliff  ,r/westcliff,r/westcliff,r/westcliff,True,True
5950,DSDT,https://dsdt.edu/, dsdt  ,r/hackintosh,r/hackintosh,r/hackintosh,True,True
6012,MIXED Institute of Cosmetology & Barber,mixed.institute/,mixed.institute ,r/Theatre,r/Theatre,r/Theatre,True,True
6121,Triangle Tech-Chambersburg,https://www.triangle-tech.edu/,  triangle-tech  ,r/triangle,r/triangle,r/triangle,True,True
6132,Arizona State University-West,www.asu.edu/, asu  ,r/ASU,r/ASU,r/ASU,True,True
6133,Arizona State University-Polytechnic,www.asu.edu/, asu  ,r/ASU,r/ASU,r/ASU,True,True
6225,Ivy Tech Community College-Northcentral,www.ivytech.edu/, ivytech  ,r/ivytech,r/ivytech,r/ivytech,True,True
6238,Ivy Tech Community College-Central Indiana,www.ivytech.edu/indianapolis/, ivytech  indianapolis ,r/Indiana,r/Indiana,r/Indiana,True,True
6367,Pratt Manhattan-A Division of Pratt Institute,https://www.pratt.edu/,  pratt  ,r/Pratt,r/Pratt,r/Pratt,True,True
6402,South College-Atlanta,https://www.south.edu/locations/atlanta/,  south  locations atlanta ,r/SouthWestAtlanta,r/SouthWestAtlanta,r/SouthWestAtlanta,True,True
6457,Purdue University - Purdue Polytechnic South Bend,polytechnic.purdue.edu/south-bend,polytechnic.purdue  south-bend,r/Indiana,r/Indiana,r/Indiana,True,True
6458,Purdue University - Purdue Polytechnic New Albany,polytechnic.purdue.edu/new-albany,polytechnic.purdue  new-albany,r/Indiana,r/Indiana,r/Indiana,True,True
6459,Purdue University - Purdue Polytechnic Columbus,polytechnic.purdue.edu/columbus,polytechnic.purdue  columbus,r/Indiana,r/Indiana,r/Indiana,True,True
6460,Purdue University - Purdue Polytechnic Kokomo,polytechnic.purdue.edu/kokomo,polytechnic.purdue  kokomo,r/Indiana,r/Indiana,r/Indiana,True,True
6526,Strayer University-Delaware County Campus,www.strayer.edu/campus-locations/pennsylvania/delaware-county, strayer  campus-locations pennsylvania delaware-county,r/Georgia,r/Georgia,r/Georgia,True,True
6544,Strayer University-Sand Lake Campus,www.strayer.edu/campus-locations, strayer  campus-locations,r/Strayer,r/Strayer,r/Strayer,True,True
6585,Strayer University-Roswell Campus,www.strayer.edu/campus-locations, strayer  campus-locations,r/Strayer,r/Strayer,r/Strayer,True,True
6661,Pennsylvania State University-Penn State Lehigh Valley,lehighvalley.psu.edu/,lehighvalley.psu  ,r/PennStateUniversity,r/PennStateUniversity,r/PennStateUniversity,True,True
6665,Pennsylvania State University-Penn State Berks,berks.psu.edu/,berks.psu  ,r/PennStateUniversity,r/PennStateUniversity,r/PennStateUniversity,True,True
6674,Pennsylvania State University-Penn State Scranton,scranton.psu.edu/,scranton.psu  ,r/PennStateUniversity,r/PennStateUniversity,r/PennStateUniversity,True,True
6679,Pennsylvania State University-Penn State Harrisburg,harrisburg.psu.edu/,harrisburg.psu  ,r/PennStateUniversity,r/PennStateUniversity,r/PennStateUniversity,True,True
